"MODEL_YEAR","VEHICLE_MAKE","MAKE_FULL_TITLE","VEHICLE_MODEL"
"2018",DODG ,DODGE                      ,DURANGO SR
"2013",ACUR ,ACURA                      ,MDX       
"2007",HOND ,HONDA                      ,CMX250 C  
"2008",BMW  ,BMW                        ,"335 I     "
"2008",BMW  ,BMW Motorrad               ,"335 I     "
"2009",DODG ,DODGE                      ,RAM 1500  
"2017",NISS ,NISSAN                     ,VERSA S   
"2002",CHEV ,CHEVROLET                  ,SILVERADO 
"2017",HARL ,HARLEY DAVIDSON            ,FLHTCUTG T
"2006",GMC  ,GMC                        ,ENVOY     
"2013",DODG ,DODGE                      ,JOURNEY SX
"2013",CHEV ,CHEVROLET                  ,EQUINOX LS
"2005",LEXS ,LEXUS                      ,ES 330    
"2004",INFI ,INFINITI                   ,FX45      
"2004",INFI ,INFINITY                   ,FX45      
"2013",TOYT ,TOYOTA                     ,YARIS     
"1984",CADI ,CADILLAC                   ,ELDORADO  
"2006",KIA  ,KIA                        ,SORENTO EX
"2005",CHEV ,CHEVROLET                  ,SILVERADO 
"2007",MERZ ,MERCEDES BENZ              ,E 350     
"2014",NISS ,NISSAN                     ,SENTRA S  
"2000",FORD ,FORD                       ,F150      
"2006",LEXS ,LEXUS                      ,ES 330    
"2016",CHEV ,CHEVROLET                  ,CRUZE PREM
"2010",CADI ,CADILLAC                   ,SRX LUXURY
"2001",BMW  ,BMW                        ,"325 I     "
"2001",BMW  ,BMW Motorrad               ,"325 I     "
"2017",CHEV ,CHEVROLET                  ,MALIBU LS 
"2018",AUDI ,AUDI                       ,A4 PREMIUM
"2018",VOLK ,VOLKSWAGEN                 ,JETTA S   
"1991",TOYT ,TOYOTA                     ,COROLLA   
"2011",CHEV ,CHEVROLET                  ,EQUINOX LT
"2019",BMW  ,BMW                        ,"330XI     "
"2019",BMW  ,BMW Motorrad               ,"330XI     "
"2020",HYUN ,HYUNDAI                    ,KONA SEL P
"2008",HOND ,HONDA                      ,CIVIC LX  
"2013",CHEV ,CHEVROLET                  ,SILVERADO 
"2013",CHEV ,CHEVROLET                  ,EQUINOX LT
"2020",TOYT ,TOYOTA                     ,RAV4 XLE  
"2006",HOND ,HONDA                      ,RIDGELINE 
"2014",VOLV ,VOLVO                      ,S60 T5    
"2016",NISS ,NISSAN                     ,PATHFINDER
"2020",CHEV ,CHEVROLET                  ,EQUINOX LS
"2008",NISS ,NISSAN                     ,FRONTIER K
"2012",VOLK ,VOLKSWAGEN                 ,TIGUAN S  
"2010",LEXS ,LEXUS                      ,HS 250H   
"2019",DODG ,DODGE                      ,JOURNEY SE
"1997",TOYT ,TOYOTA                     ,TERCEL CE 
"2009",NISS ,NISSAN                     ,FRONTIER C
"2014",RAM  ,RAM                        ,"3500 ST   "
"2014",RAM  ,RAM TRUCKS                 ,"3500 ST   "
"2003",CHRY ,CHRYSLER                   ,CONCORDE L
"2017",NISS ,NISSAN                     ,SENTRA S  
"2003",DODG ,DODGE                      ,RAM 2500 S
"2008",NISS ,NISSAN                     ,ALTIMA 2.5
"2011",HOND ,HONDA                      ,CIVIC EX  
"2004",HOND ,HONDA                      ,PILOT EXL 
"2006",TRAI ,TRAIL KING                 ,TRAILER   
"2001",TOYT ,TOYOTA                     ,PRIUS     
"2018",NISS ,NISSAN                     ,VERSA S   
"2014",KIA  ,KIA                        ,OPTIMA EX 
"2004",FORD ,FORD                       ,EXPLORER S
"2011",HOND ,HONDA                      ,CR-V EXL  
"2011",TOYT ,TOYOTA                     ,CAMRY BASE
"2020",TOYT ,TOYOTA                     ,CAMRY LE  
"2017",JEP  ,JEEP                       ,PATRIOT LA
"1995",GMC  ,GMC                        ,SIERRA C15
"2016",VOLK ,VOLKSWAGEN                 ,BEETLE SE 
"2004",TOYT ,TOYOTA                     ,CAMRY LE  
"2006",HYUN ,HYUNDAI                    ,SONATA GLS
"2008",BMW  ,BMW                        ,"535 XI    "
"2008",BMW  ,BMW Motorrad               ,"535 XI    "
"2007",TOYT ,TOYOTA                     ,PRIUS     
"2016",MITS ,MITSUBISHI                 ,LANCER ES 
"1995",CHEV ,CHEVROLET                  ,CAMARO COU
"2006",HOND ,HONDA                      ,ODYSSEY EX
"2016",FORD ,FORD                       ,FUSION TIT
"2008",MERZ ,MERCEDES BENZ              ,S 63 AMG  
"2012",TOYT ,TOYOTA                     ,CAMRY BASE
"2012",FORD ,FORD                       ,F150 SUPER
"2015",HOND ,HONDA                      ,CIVIC LX  
"2003",TOYT ,TOYOTA                     ,SIENNA LE 
"2014",JEP  ,JEEP                       ,CHEROKEE L
"2014",NISS ,NISSAN                     ,PATHFINDER
"2012",CHEV ,CHEVROLET                  ,EQUINOX LT
"2006",NISS ,NISSAN                     ,SENTRA 1.8
"2008",TOYT ,TOYOTA                     ,PRIUS     
"2013",CADI ,CADILLAC                   ,SRX LUXURY
"2010",CHEV ,CHEVROLET                  ,COBALT 1LT
"2017",KIA  ,KIA                        ,OPTIMA PLU
"2012",BMW  ,BMW                        ,"750 LI    "
"2012",BMW  ,BMW Motorrad               ,"750 LI    "
"2007",TOYT ,TOYOTA                     ,COROLLA   
"2014",SUBA ,SUBARU                     ,TRIBECA LI
"2015",HOND ,HONDA                      ,CIVIC SE  
"2017",HYUN ,HYUNDAI                    ,ACCENT SE 
"2001",HOND ,HONDA                      ,CR-V EX   
"2015",VOLK ,VOLKSWAGEN                 ,PASSAT S  
"2003",FORD ,FORD                       ,F150      
"2006",TOYT ,TOYOTA                     ,TUNDRA DOU
"2014",NISS ,NISSAN                     ,ALTIMA 2.5
"2018",HYUN ,HYUNDAI                    ,ELANTRA   
"2013",VOLK ,VOLKSWAGEN                 ,CC SPORT  
"2008",MERZ ,MERCEDES BENZ              ,C 300     
"2016",FORD ,FORD                       ,MUSTANG GT
"2011",HOND ,HONDA                      ,CR-V SE   
"2005",FORD ,FORD                       ,TAURUS SE 
"2009",HYUN ,HYUNDAI                    ,GENESIS 3.
"2007",TOYT ,TOYOTA                     ,CAMRY CE  
"2010",TOYT ,TOYOTA                     ,TACOMA DOU
"2011",BUIC ,BUICK                      ,REGAL CXL 
"2019",DODG ,DODGE                      ,DURANGO GT
"1999",FORD ,FORD                       ,EXPLORER  
"2012",CHRY ,CHRYSLER                   ,TOWN & COU
"2013",CHEV ,CHEVROLET                  ,MALIBU LS 
"1998",FORD ,FORD                       ,F250      
"2008",TOYT ,TOYOTA                     ,SIENNA XLE
"2005",FORD ,FORD                       ,ESCAPE XLT
"2016",TESL ,TESLA                      ,MODEL S   
"2011",HYUN ,HYUNDAI                    ,SONATA SE 
"2003",HOND ,HONDA                      ,CIVIC EX  
"2007",HOND ,HONDA                      ,ACCORD EX 
"1992",VOLV ,VOLVO                      ,"940 BASE  "
"2017",CHEV ,CHEVROLET                  ,CRUZE LS  
"2007",INFI ,INFINITI                   ,G35       
"2007",INFI ,INFINITY                   ,G35       
"2011",LEXS ,LEXUS                      ,IS 250    
"2009",GMC  ,GMC                        ,SIERRA C15
"2015",YAMA ,YAMAHA                     ,FJ09      
"2007",DODG ,DODGE                      ,SPRINTER 2
"2006",LAND ,LAND ROVER                 ,RANGE ROVE
"2006",LAND ,LANDAU BOAT CO             ,RANGE ROVE
"2008",FORD ,FORD                       ,EDGE SEL  
"2021",CARG ,CARGO                      ,CARGO TRAI
"2016",HYUN ,HYUNDAI                    ,ACCENT SE 
"2018",TOYT ,TOYOTA                     ,CAMRY LE  
"2008",DODG ,DODGE                      ,CHARGER   
"2011",NISS ,NISSAN                     ,JUKE S    
"2011",HOND ,HONDA                      ,ACCORD LX 
"2016",HOND ,HONDA                      ,CIVIC EX  
"2007",TOYT ,TOYOTA                     ,CAMRY LE  
"2012",HOND ,HONDA                      ,ACCORD    
"2010",JEP  ,JEEP                       ,PATRIOT SP
"2004",SUBA ,SUBARU                     ,LEGACY OUT
"2004",VOLV ,VOLVO                      ,C70 HPT   
"1996",FORD ,FORD                       ,ECONOLINE 
"2011",HOND ,HONDA                      ,ACCORD    
"2010",FORD ,FORD                       ,EDGE SE   
"2009",TOYT ,TOYOTA                     ,COROLLA BA
"2012",SUBA ,SUBARU                     ,IMPREZA PR
"2014",JEP  ,JEEP                       ,WRANGLER U
"1999",CHEV ,CHEVROLET                  ,S TRUCK S1
"2015",AUDI ,AUDI                       ,A3        
"2006",TOYT ,TOYOTA                     ,TUNDRA    
"2014",HOND ,HONDA                      ,ACCORD    
"2015",HYUN ,HYUNDAI                    ,SONATA SPO
"2019",HOND ,HONDA                      ,ACCORD    
"2009",HOND ,HONDA                      ,ACCORD EXL
"2018",TOYT ,TOYOTA                     ,COROLLA L 
"2010",HOND ,HONDA                      ,ACCORD    
"2020",NISS ,NISSAN                     ,VERSA S   
"2000",LINC ,LINCOLN                    ,TOWN CAR E
"2000",LINC ,LINCOLN TOWNHOUSE          ,TOWN CAR E
"2020",CHEV ,CHEVROLET                  ,EQUINOX LT
"2013",AUDI ,AUDI                       ,A3        
"2008",SMRT ,SMART CARS                 ,FORTWO PAS
"2016",HOND ,HONDA                      ,ACCORD    
"2018",JEP  ,JEEP                       ,COMPASS LA
"2019",ACUR ,ACURA                      ,CSX       
"2003",HOND ,HONDA                      ,ACCORD LX 
"2013",LEXS ,LEXUS                      ,RX 350 BAS
"2010",KIA  ,KIA                        ,SOUL +    
"2008",BMW  ,BMW                        ,X5 4.8I   
"2008",BMW  ,BMW Motorrad               ,X5 4.8I   
"1999",JEP  ,JEEP                       ,GRAND CHER
"2005",FRHT ,FREIGHTLINER               ,M2 106 MED
"2005",FRHT ,FREIGLINER                 ,M2 106 MED
"2021",GMC  ,GMC                        ,SIERRA K15
"2005",CADI ,CADILLAC                   ,CTS HI FEA
"2014",TOYT ,TOYOTA                     ,COROLLA L 
"2003",VOLK ,VOLKSWAGEN                 ,JETTA GLS 
"2015",TOYT ,TOYOTA                     ,SCION TC  
"2014",DODG ,DODGE                      ,CHARGER R/
"2016",VOLK ,VOLKSWAGEN                 ,PASSAT SE 
"2008",FORD ,FORD                       ,F-250     
"2019",CHEV ,CHEVROLET                  ,TAHOE 2WD 
"2017",CHEV ,CHEVROLET                  ,CRUZE LT  
"2014",LEXS ,LEXUS                      ,IS 250    
"2001",BMW  ,BMW                        ,C600      
"2001",BMW  ,BMW Motorrad               ,C600      
"2019",DODG ,DODGE                      ,GRAND CARA
"1999",HOND ,HONDA                      ,ACC S EX  
"2013",HOND ,HONDA                      ,PILOT TOUR
"2002",CHRY ,CHRYSLER                   ,TOWN & COU
"2007",GMC  ,GMC                        ,NEW SIERRA
"1995",BMW  ,BMW                        ,C600      
"1995",BMW  ,BMW Motorrad               ,C600      
"2016",LAND ,LAND ROVER                 ,DISCOVERY 
"2016",LAND ,LANDAU BOAT CO             ,DISCOVERY 
"2017",TOYT ,TOYOTA                     ,RAV4 XLE  
"2010",AUST ,AUSTIN                     ,"3000 MKII "
"2021",AUDI ,AUDI                       ,ALLROAD   
"2020",KIA  ,KIA                        ,SOUL LX   
"2008",BENT ,BENTLEY                    ,BENTAYGA  
"2008",BENT ,BENTLY                     ,BENTAYGA  
"2013",HOND ,HONDA                      ,ACCORD    
"2019",NISS ,NISSAN                     ,VERSA S   
"2007",AUDI ,AUDI                       ,A3        
"2002",LEXS ,LEXUS                      ,ES 300    
"2015",HOND ,HONDA                      ,ACCORD    
"2014",MAZD ,MAZDA                      ,"3 GRAND TO"
"2008",FORD ,FORD                       ,FUSION SE 
"2016",CHEV ,CHEVROLET                  ,SUBURBAN C
"2015",VOLK ,VOLKSWAGEN                 ,JETTA SE  
"2002",HOND ,HONDA                      ,CIVIC EX  
"2004",TOYT ,TOYOTA                     ,"4RUNNER   "
"2016",MITS ,MITSUBISHI                 ,LANCER    
"2004",HOND ,HONDA                      ,CIVIC HYBR
"1996",ACUR ,ACURA                      ,"2.5TL     "
"1983",CADI ,CADILLAC                   ,ELDORADO  
"2014",CHEV ,CHEVROLET                  ,TRAVERSE L
"2008",HOND ,HONDA                      ,CIVIC EX  
"2016",AUDI ,AUDI                       ,A3        
"2006",HOND ,HONDA                      ,ACCORD VAL
"2008",TOYT ,TOYOTA                     ,CAMRY SOLA
"2008",BMW  ,BMW                        ,"135 I     "
"2008",BMW  ,BMW Motorrad               ,"135 I     "
"2004",LEXS ,LEXUS                      ,LS 430    
"2002",TOYT ,TOYOTA                     ,CELICA    
"2002",TOYT ,TOYOTA                     ,CAMRY LE  
"2006",GM   ,GM                         ,BELAIR    
"2007",NISS ,NISSAN                     ,FRONTIER K
"2011",BMW  ,BMW                        ,"328 I     "
"2011",BMW  ,BMW Motorrad               ,"328 I     "
"2011",ACUR ,ACURA                      ,CSX       
"2014",AUDI ,AUDI                       ,A3        
"2006",NISS ,NISSAN                     ,MAXIMA SE 
"2015",KIA  ,KIA                        ,FORTE LX  
"2005",AUDI ,AUDI                       ,A4 2.0T QU
"2004",TOYT ,TOYOTA                     ,SIENNA    
"2005",HYUN ,HYUNDAI                    ,ACCENT GS 
"2001",VOLV ,VOLVO                      ,S80 T6 EXE
"2015",JEP  ,JEEP                       ,GRAND CHER
"2013",CHEV ,CHEVROLET                  ,VOLT      
"2011",NISS ,NISSAN                     ,ALTIMA BAS
"2001",CHEV ,CHEVROLET                  ,EXPRESS CA
"2009",TOYT ,TOYOTA                     ,RAV4      
"1994",FORD ,FORD                       ,ECONOLINE 
"2008",MERZ ,MERCEDES BENZ              ,E 350     
"2003",FORD ,FORD                       ,E 250     
"2007",DODG ,DODGE                      ,CALIBER   
"2007",DODG ,DODGE                      ,NITRO SXT 
"2000",GMC  ,GMC                        ,YUKON XL K
"2002",CHEV ,CHEVROLET                  ,SUBURBAN C
"2011",SAA  ,SAAB                       ,"9-3 2.0T  "
"2005",FORD ,FORD                       ,RANGER    
"2006",TOYT ,TOYOTA                     ,SIENNA CE 
"2012",BMW  ,BMW                        ,"750 XI    "
"2012",BMW  ,BMW Motorrad               ,"750 XI    "
"2006",DODG ,DODGE                      ,MAGNUM    
"2015",HYUN ,HYUNDAI                    ,ELANTRA SE
"2013",TOYT ,TOYOTA                     ,COROLLA BA
"2003",FORD ,FORD                       ,F250 SUPER
"2008",TOYT ,TOYOTA                     ,HIGHLANDER
"2005",MERZ ,MERCEDES BENZ              ,C 240     
"1994",BUIC ,BUICK                      ,REGAL GRAN
"2013",FORD ,FORD                       ,F150 SUPER
"2005",HOND ,HONDA                      ,PILOT EXL 
"2006",HOND ,HONDA                      ,ACCORD SE 
"2017",KIA  ,KIA                        ,SPORTAGE L
"2004",CHRY ,CHRYSLER                   ,SEBRING LX
"2018",SUBA ,SUBARU                     ,OUTBACK 2.
"2005",VOLV ,VOLVO                      ,XC90 V8   
"2005",MERZ ,MERCEDES BENZ              ,C320      
"2017",CHEV ,CHEVROLET                  ,SPARK LS  
"2014",TOYT ,TOYOTA                     ,HIGHLANDER
"2008",CADI ,CADILLAC                   ,CTS HI FEA
"2011",CHEV ,CHEVROLET                  ,SILVERADO 
"2009",HYUN ,HYUNDAI                    ,SONATA GLS
"2008",PONT ,PONTIAC                    ,G6 GT     
"2005",FORD ,FORD                       ,EXPLORER S
"2019",VOLK ,VOLKSWAGEN                 ,ATLAS SE  
"2005",AUDI ,AUDI                       ,A4 1.8T   
"2007",NISS ,NISSAN                     ,SENTRA 2.0
"2013",HOND ,HONDA                      ,FIT SPORT 
"2016",NISS ,NISSAN                     ,ALTIMA 2.5
"2003",TOYT ,TOYOTA                     ,ECHO      
"2005",HOND ,HONDA                      ,ACCORD EX 
"1995",GMC  ,GMC                        ,SIERRA K35
"2014",RAM  ,RAM                        ,"1500 SLT  "
"2014",RAM  ,RAM TRUCKS                 ,"1500 SLT  "
"2014",HYUN ,HYUNDAI                    ,SONATA GLS
"2008",JEP  ,JEEP                       ,GRAND CHER
"2011",CHRY ,CHRYSLER                   ,TOWN & COU
"2009",DODG ,DODGE                      ,JOURNEY SX
"2004",MAZD ,MAZDA                      ,"6 I       "
"2016",HOND ,HONDA                      ,ACCORD LX 
"2001",FORD ,FORD                       ,RANGER SUP
"2007",FORD ,FORD                       ,ESCAPE XLT
"2008",DODG ,DODGE                      ,CALIBER   
"2009",TOYT ,TOYOTA                     ,CAMRY BASE
"2011",MIN  ,MINI                       ,COOPER    
"2000",TOYT ,TOYOTA                     ,AVALON XL 
"2011",KIA  ,KIA                        ,SOUL +    
"2013",TOYT ,TOYOTA                     ,SCION XB  
"2011",FORD ,FORD                       ,TAURUS SEL
"2006",MERZ ,MERCEDES BENZ              ,C 230     
"2011",FORD ,FORD                       ,FUSION SEL
"2005",INFI ,INFINITI                   ,G35       
"2005",INFI ,INFINITY                   ,G35       
"2002",NISS ,NISSAN                     ,XTERRA XE 
"2013",KIA  ,KIA                        ,RIO LX    
"2004",MAZD ,MAZDA                      ,RX8       
"2011",JEP  ,JEEP                       ,GRAND CHER
"2018",KIA  ,KIA                        ,OPTIMA SX 
"2001",LEXS ,LEXUS                      ,RX        
"2005",NISS ,NISSAN                     ,ALTIMA S  
"2009",NISS ,NISSAN                     ,SENTRA 2.0
"2001",LEXS ,LEXUS                      ,RX 300    
"2006",TOYT ,TOYOTA                     ,COROLLA CE
"2007",JEP  ,JEEP                       ,COMPASS   
"2007",SUZI ,SUZUKI                     ,GSF1250 S 
"2010",CHEV ,CHEVROLET                  ,CAMARO LT 
"2017",BUIC ,BUICK                      ,ENCORE PRE
"2011",FORD ,FORD                       ,EDGE LIMIT
"2006",MERC ,MERCURY                    ,MARINER   
"2017",CHEV ,CHEVROLET                  ,MALIBU LT 
"2012",CHEV ,CHEVROLET                  ,SUBURBAN K
"2009",FORD ,FORD                       ,FLEX LIMIT
"2008",CHRY ,CHRYSLER                   ,TOWN & COU
"2016",CHEV ,CHEVROLET                  ,CRUZE LIMI
"2017",VOLK ,VOLKSWAGEN                 ,JETTA SE  
"2005",FORD ,FORD                       ,TAURUS SEL
"2004",BMW  ,BMW                        ,"330 I     "
"2004",BMW  ,BMW Motorrad               ,"330 I     "
"2010",FORD ,FORD                       ,FUSION SE 
"2000",MITS ,MITSUBISHI                 ,MONTERO SP
"2011",JEP  ,JEEP                       ,PATRIOT SP
"2013",CHEV ,CHEVROLET                  ,IMPALA LT 
"2016",NISS ,NISSAN                     ,SENTRA S  
"2011",LINC ,LINCOLN                    ,MKT       
"2011",LINC ,LINCOLN TOWNHOUSE          ,MKT       
"2013",MAZD ,MAZDA                      ,"3 I       "
"2011",CHEV ,CHEVROLET                  ,EQUINOX   
"2015",FORD ,FORD                       ,TRANSIT CO
"2020",KIA  ,KIA                        ,FORTE FE  
"2006",CHEV ,CHEVROLET                  ,SILVERADO 
"2010",CHEV ,CHEVROLET                  ,EQUINOX LT
"2009",CHEV ,CHEVROLET                  ,SILVERADO 
