"MODEL_YEAR","VEHICLE_MAKE","MAKE_FULL_TITLE","VEHICLE_MODEL"
"2007",GMC  ,GMC                        ,SAVANA CUT
"2007",JEP  ,JEEP                       ,GRAND CHER
"2012",CHRY ,CHRYSLER                   ,"200 LX    "
"2012",HYUN ,HYUNDAI                    ,SONATA GLS
"2005",FORD ,FORD                       ,EXPLORER X
"2003",NISS ,NISSAN                     ,SENTRA SE-
"2007",CHEV ,CHEVROLET                  ,TRAILBLAZE
"2013",NISS ,NISSAN                     ,ARMADA SV 
"1998",JEP  ,JEEP                       ,CHEROKEE S
"2004",LEXS ,LEXUS                      ,GX 470    
"2006",HOND ,HONDA                      ,PILOT EX  
"2013",AUDI ,AUDI                       ,A4 PREMIUM
"2013",MERZ ,MERCEDES BENZ              ,GLK 350 4M
"2020",DODG ,DODGE                      ,CHALLENGER
"2011",GMC  ,GMC                        ,SIERRA K15
"2009",CHEV ,CHEVROLET                  ,HHR LT    
"2017",GMC  ,GMC                        ,YUKON DENA
"2007",DODG ,DODGE                      ,RAM 1500 S
"2019",DODG ,DODGE                      ,CHALLENGER
"1995",JEP  ,JEEP                       ,WRANGLER /
"2014",VOLK ,VOLKSWAGEN                 ,TIGUAN S  
"2012",HYUN ,HYUNDAI                    ,ELANTRA GL
"2011",CHEV ,CHEVROLET                  ,CRUZE LT  
"2004",TOYT ,TOYOTA                     ,SIENNA XLE
"2013",NISS ,NISSAN                     ,FRONTIER S
"2013",HYUN ,HYUNDAI                    ,TUCSON GLS
"2009",HOND ,HONDA                      ,CR-V EXL  
"2014",TOYT ,TOYOTA                     ,SCION XB  
"2018",FORD ,FORD                       ,F150 SUPER
"2010",NISS ,NISSAN                     ,SENTRA 2.0
"2004",MERZ ,MERCEDES BENZ              ,E 500     
"2009",KIA  ,KIA                        ,BORREGO LX
"2005",TOYT ,TOYOTA                     ,CAMRY LE  
"2005",GMC  ,GMC                        ,ENVOY     
"1998",FORD ,FORD                       ,EXPLORER  
"2007",JEP  ,JEEP                       ,COMMANDER 
"2011",KIA  ,KIA                        ,OPTIMA LX 
"2010",GMC  ,GMC                        ,SIERRA C15
"2014",BMW  ,BMW                        ,"528 XI    "
"2014",BMW  ,BMW Motorrad               ,"528 XI    "
"1999",FORD ,FORD                       ,F250 SUPER
"1999",HOND ,HONDA                      ,CR-V EX   
"2005",HOND ,HONDA                      ,CR-V LX   
"2019",KIA  ,KIA                        ,SORENTO LX
"2019",CHEV ,CHEVROLET                  ,EQUINOX LS
"2020",SUBA ,SUBARU                     ,IMPREZA   
"2010",CHEV ,CHEVROLET                  ,IMPALA LT 
"2008",TOYT ,TOYOTA                     ,CAMRY CE  
"2004",PORS ,PORSCHE                    ,CAYENNE S 
"2016",NISS ,NISSAN                     ,MURANO S  
"2008",TOYT ,TOYOTA                     ,SIENNA CE 
"1973",CHEV ,CHEVROLET                  ,C-10      
"2010",SUBA ,SUBARU                     ,IMPREZA 2.
"2018",RAM  ,RAM                        ,"1500 SLT  "
"2018",RAM  ,RAM TRUCKS                 ,"1500 SLT  "
"2015",SUBA ,SUBARU                     ,WRX PREMIU
"2007",HOND ,HONDA                      ,CR-V      
"2017",TOYT ,TOYOTA                     ,TACOMA DOU
"2017",AUDI ,AUDI                       ,A6 PREMIUM
"2005",CHEV ,CHEVROLET                  ,SUBURBAN K
"2001",JEP  ,JEEP                       ,GRAND CHER
"2006",HOND ,HONDA                      ,CR-V SE   
"2007",FORD ,FORD                       ,EDGE SE   
"2012",BUIC ,BUICK                      ,LACROSSE  
"2020",KIA  ,KIA                        ,TELLURIDE 
"2001",TOYT ,TOYOTA                     ,RAV4      
"2009",PONT ,PONTIAC                    ,VIBE      
"1937",CADI ,CADILLAC                   ,"4D        "
"2009",HYUN ,HYUNDAI                    ,ELANTRA GL
"1997",TOYT ,TOYOTA                     ,COROLLA DX
"2009",MERC ,MERCURY                    ,MILAN PREM
"2005",SUBA ,SUBARU                     ,LEGACY    
"2012",TOYT ,TOYOTA                     ,CAMRY     
"2007",DODG ,DODGE                      ,MAGNUM SE 
"2020",FORD ,FORD                       ,EXPLORER X
"2006",ACUR ,ACURA                      ,TSX       
"2014",FORD ,FORD                       ,ESCAPE SE 
"2017",FIAT ,FIAT                       ,"500L TREKK"
"2007",NISS ,NISSAN                     ,FRONTIER C
"2014",HOND ,HONDA                      ,ODYSSEY EX
"2011",DODG ,DODGE                      ,AVENGER EX
"2014",HYUN ,HYUNDAI                    ,TUCSON GLS
"2013",TOYT ,TOYOTA                     ,AVALON BAS
"2011",DODG ,DODGE                      ,JOURNEY   
"2000",MERZ ,MERCEDES BENZ              ,ML 320    
"2018",CHEV ,CHEVROLET                  ,CRUZE LS  
"2015",NISS ,NISSAN                     ,ALTIMA 2.5
"2014",HYUN ,HYUNDAI                    ,ELANTRA SE
"2021",FORD ,FORD                       ,BRONCO SPO
"2019",NISS ,NISSAN                     ,VERSA NOTE
"2006",VOLK ,VOLKSWAGEN                 ,NEW BEETLE
"2014",FORD ,FORD                       ,FOCUS SE  
"2011",FORD ,FORD                       ,FUSION HYB
"2019",CHRY ,CHRYSLER                   ,"300 S     "
"2014",AUDI ,AUDI                       ,Q7 PRESTIG
"2021",NISS ,NISSAN                     ,SENTRA SV 
"2007",SUBA ,SUBARU                     ,IMPREZA 2.
"2001",VOLK ,VOLKSWAGEN                 ,GTI GLX   
"2012",NISS ,NISSAN                     ,ALTIMA BAS
"2017",RAM  ,RAM                        ,"1500 SLT  "
"2017",RAM  ,RAM TRUCKS                 ,"1500 SLT  "
"2019",DODG ,DODGE                      ,CHARGER GT
"2014",HOND ,HONDA                      ,CIVIC LX  
"2018",MERZ ,MERCEDES BENZ              ,C 300     
"1996",FORD ,FORD                       ,F150      
"1997",NISS ,NISSAN                     ,TRUCK KING
"2018",KIA  ,KIA                        ,SPORTAGE L
"2014",HYUN ,HYUNDAI                    ,SANTA FE S
"2009",NISS ,NISSAN                     ,MURANO S  
"2015",DODG ,DODGE                      ,DURANGO SX
"2004",DODG ,DODGE                      ,STRATUS SE
"2003",HOND ,HONDA                      ,CIVIC LX  
"2006",TOYT ,TOYOTA                     ,CAMRY     
"2006",FORD ,FORD                       ,FIVE HUNDR
"2006",JEP  ,JEEP                       ,GRAND CHER
"2006",DODG ,DODGE                      ,MAGNUM SXT
"2006",VOLK ,VOLKSWAGEN                 ,JETTA 2.5 
"2019",NISS ,NISSAN                     ,SENTRA S  
"2005",LAND ,LAND ROVER                 ,RANGE ROVE
"2005",LAND ,LANDAU BOAT CO             ,RANGE ROVE
"2011",SUBA ,SUBARU                     ,OUTBACK 2.
"1997",CHEV ,CHEVROLET                  ,GMT-400 K1
"2013",FORD ,FORD                       ,ESCAPE SE 
"2010",HOND ,HONDA                      ,ACCORD EXL
"2007",CHEV ,CHEVROLET                  ,SILVERADO 
"2013",VOLK ,VOLKSWAGEN                 ,JETTA HYBR
"2003",SATU ,SATURN                     ,VUE       
"2003",SATU ,SNOWEX                     ,VUE       
"2011",HOND ,HONDA                      ,ACCORD EX 
"2001",JEP  ,JEEP                       ,CHEROKEE S
"2016",FORD ,FORD                       ,EDGE TITAN
"2004",NISS ,NISSAN                     ,SENTRA 1.8
"1999",ISU  ,ISUZU                      ,TROOPER S 
"2012",KIA  ,KIA                        ,SORENTO BA
"2004",FORD ,FORD                       ,F150      
"2012",MITS ,MITSUBISHI                 ,OUTLANDER 
"2004",ISU  ,ISUZU                      ,ASCENDER S
"2018",NISS ,NISSAN                     ,ROGUE S   
"2016",TOYT ,TOYOTA                     ,TACOMA ACC
"2006",TOYT ,TOYOTA                     ,PRIUS     
"2016",NISS ,NISSAN                     ,VERSA S   
"2017",VOLK ,VOLKSWAGEN                 ,TIGUAN S  
"2001",FORD ,FORD                       ,F150 SUPER
"2003",TOYT ,TOYOTA                     ,COROLLA CE
"1997",BUIC ,BUICK                      ,REGAL LS  
"2009",HOND ,HONDA                      ,FIT SPORT 
"2007",VOLK ,VOLKSWAGEN                 ,NEW BEETLE
"2011",CHRY ,CHRYSLER                   ,"200 LIMITE"
"2008",CHEV ,CHEVROLET                  ,EQUINOX LT
"2007",BMW  ,BMW                        ,"328 IT    "
"2007",BMW  ,BMW Motorrad               ,"328 IT    "
"2016",VOLK ,VOLKSWAGEN                 ,JETTA S   
"2014",SUBA ,SUBARU                     ,FORESTER 2
"2011",MERZ ,MERCEDES BENZ              ,E 350     
"2017",MASE ,MASERATI                   ,GHIBLI S  
"2006",CHEV ,CHEVROLET                  ,AVALANCHE 
"2000",TOYT ,TOYOTA                     ,ECHO      
"2017",FORD ,FORD                       ,FUSION SE 
"2014",NISS ,NISSAN                     ,MAXIMA S  
"2020",HYUN ,HYUNDAI                    ,ELANTRA SE
"2014",JEP  ,JEEP                       ,WRANGLER S
"2016",NISS ,NISSAN                     ,ROGUE S   
"2010",CHEV ,CHEVROLET                  ,MALIBU LS 
"2012",DODG ,DODGE                      ,CHALLENGER
"2008",HOND ,HONDA                      ,ACCORD EXL
"2010",CHEV ,CHEVROLET                  ,HHR LT    
"2015",NISS ,NISSAN                     ,ROGUE SELE
"2013",SUBA ,SUBARU                     ,OUTBACK 2.
"2019",BUIC ,BUICK                      ,ENCLAVE AV
"2007",FORD ,FORD                       ,EDGE SEL P
"2004",HOND ,HONDA                      ,CR-V EX   
"2019",JEP  ,JEEP                       ,COMPASS LA
"2016",FORD ,FORD                       ,FIESTA S  
"2012",INFI ,INFINITI                   ,FX35      
"2012",INFI ,INFINITY                   ,FX35      
"2016",KIA  ,KIA                        ,SOUL      
"2007",FORD ,FORD                       ,EXPLORER X
"2020",KIA  ,KIA                        ,OPTIMA LX 
"2005",KIA  ,KIA                        ,SEDONA EX 
"2016",CHEV ,CHEVROLET                  ,TRAVERSE L
"2018",HYUN ,HYUNDAI                    ,ELANTRA SE
"2016",HOND ,HONDA                      ,CR-V EX   
"2008",HOND ,HONDA                      ,PILOT SE  
"2003",CHEV ,CHEVROLET                  ,TAHOE C150
"2002",TOYT ,TOYOTA                     ,SEQUOIA LI
"2010",VOLK ,VOLKSWAGEN                 ,TOUAREG TD
"2009",SUZI ,SUZUKI                     ,SX4 SPORT 
"2001",HOND ,HONDA                      ,ACCORD EX 
"2007",SUZI ,SUZUKI                     ,GRAND VITA
"2020",ROCK ,ROCKWOOD                   ,MINI LITE 
"2007",HYUN ,HYUNDAI                    ,SONATA SE 
"2001",CHEV ,CHEVROLET                  ,BLAZER    
"2013",HOND ,HONDA                      ,CIVIC LX  
"2003",JEP  ,JEEP                       ,GRAND CHER
"2006",FORD ,FORD                       ,F150      
"2013",HYUN ,HYUNDAI                    ,SONATA    
"2015",SUBA ,SUBARU                     ,WRX LIMITE
"2005",DODG ,DODGE                      ,GRAND CARA
"2008",FORD ,FORD                       ,FOCUS SE  
"2015",CHEV ,CHEVROLET                  ,TAHOE K150
"2014",CHEV ,CHEVROLET                  ,SILVERADO 
"2002",BMW  ,BMW                        ,"330 I     "
"2002",BMW  ,BMW Motorrad               ,"330 I     "
"2014",NISS ,NISSAN                     ,ROGUE SELE
"2006",GMC  ,GMC                        ,NEW SIERRA
"2010",DODG ,DODGE                      ,JOURNEY SX
"2015",KIA  ,KIA                        ,OPTIMA EX 
"2008",CHEV ,CHEVROLET                  ,AVEO BASE 
"1998",FORD ,FORD                       ,MUSTANG   
"2013",FORD ,FORD                       ,MUSTANG   
"2019",GMC  ,GMC                        ,SIERRA K15
"2003",TOYT ,TOYOTA                     ,SEQUOIA LI
"2012",TOYT ,TOYOTA                     ,COROLLA BA
"2001",FORD ,FORD                       ,F350 SRW S
"2012",NISS ,NISSAN                     ,VERSA S   
"1999",PLYM ,PLYMOUTH                   ,VOYAGER SE
"2001",TOYT ,TOYOTA                     ,SEQUOIA SR
"2003",NISS ,NISSAN                     ,PATHFINDER
"2011",HOND ,HONDA                      ,PILOT EX  
"2009",HOND ,HONDA                      ,CR-V LX   
"2010",NISS ,NISSAN                     ,ALTIMA BAS
"2012",SUBA ,SUBARU                     ,LEGACY 2.5
"2021",KIA  ,KIA                        ,K5 GT LINE
"2012",MAZD ,MAZDA                      ,"3 I       "
"2017",JEP  ,JEEP                       ,WRANGLER S
"2011",TOYT ,TOYOTA                     ,PRIUS     
"2001",ACUR ,ACURA                      ,MDX       
"2019",VOLK ,VOLKSWAGEN                 ,JETTA S   
"2019",CHEV ,CHEVROLET                  ,IMPALA LT 
"2012",FORD ,FORD                       ,EXPLORER X
"2008",KIA  ,KIA                        ,SEDONA EX 
"2019",NISS ,NISSAN                     ,ROGUE S   
"2016",FORD ,FORD                       ,ESCAPE SE 
"2015",CHRY ,CHRYSLER                   ,TOWN & COU
"2007",HYUN ,HYUNDAI                    ,SANTA FE G
"2018",VOLK ,VOLKSWAGEN                 ,TIGUAN SE 
"2004",HOND ,HONDA                      ,ODYSSEY EX
"2009",TOYT ,TOYOTA                     ,RAV4 LIMIT
"2018",MIN  ,MINI                       ,COOPER S  
"2018",HINO ,HINO                       ,TRUCK     
"2011",TOYT ,TOYOTA                     ,COROLLA BA
"2019",TOYT ,TOYOTA                     ,CAMRY L   
"2014",TOYT ,TOYOTA                     ,PRIUS PLUG
"2011",HYUN ,HYUNDAI                    ,ACCENT GLS
"2011",HOND ,HONDA                      ,ELEMENT EX
"2002",DODG ,DODGE                      ,RAM 1500  
"2006",DODG ,DODGE                      ,DAKOTA QUA
"2019",HOND ,HONDA                      ,ACCORD LX 
"2013",BUIC ,BUICK                      ,REGAL PREM
"2012",CHEV ,CHEVROLET                  ,TRAVERSE L
"2014",HOND ,HONDA                      ,PILOT TOUR
"2013",HOND ,HONDA                      ,CIVIC EX  
"2018",FORD ,FORD                       ,FIESTA SE 
"2019",SUBA ,SUBARU                     ,CROSSTREK 
"1998",FORD ,FORD                       ,MUSTANG GT
"2020",RAM  ,RAM                        ,"1500 CLASS"
"2020",RAM  ,RAM TRUCKS                 ,"1500 CLASS"
"2010",DODG ,DODGE                      ,CHARGER R/
"2015",CHEV ,CHEVROLET                  ,EQUINOX LT
"2009",PONT ,PONTIAC                    ,TORRENT   
"2006",FORD ,FORD                       ,EXPLORER X
"2004",TOYT ,TOYOTA                     ,TACOMA XTR
"2007",DODG ,DODGE                      ,CALIBER R/
"2012",HOND ,HONDA                      ,CIVIC LX  
"2003",TOYT ,TOYOTA                     ,COROLLA MA
"2018",CHEV ,CHEVROLET                  ,SILVERADO 
"2014",CHEV ,CHEVROLET                  ,IMPALA LT 
"2008",INFI ,INFINITI                   ,G35       
"2008",INFI ,INFINITY                   ,G35       
"2019",CHEV ,CHEVROLET                  ,TRAVERSE L
"2010",TOYT ,TOYOTA                     ,COROLLA   
"2008",FORD ,FORD                       ,ESCAPE LIM
"2017",TOYT ,TOYOTA                     ,COROLLA L 
"2013",BMW  ,BMW                        ,"535 I     "
"2013",BMW  ,BMW Motorrad               ,"535 I     "
"2003",BMW  ,BMW                        ,X5 4.4I   
"2003",BMW  ,BMW Motorrad               ,X5 4.4I   
"2008",NISS ,NISSAN                     ,PATHFINDER
"2012",FORD ,FORD                       ,FUSION SEL
"2012",FORD ,FORD                       ,FOCUS SE  
"2005",ACUR ,ACURA                      ,TL        
"2002",TOYT ,TOYOTA                     ,RAV4      
"2015",HOND ,HONDA                      ,FIT EX    
"2010",FORD ,FORD                       ,FUSION    
"2009",FORD ,FORD                       ,FOCUS SE  
"2014",FORD ,FORD                       ,FIESTA SE 
"1993",CHEV ,CHEVROLET                  ,GMT-400 C1
"2013",FORD ,FORD                       ,FOCUS SE  
"2009",CHEV ,CHEVROLET                  ,COBALT LT 
"2011",FORD ,FORD                       ,F150      
"2017",HOND ,HONDA                      ,CR-V EXL  
"2006",CHEV ,CHEVROLET                  ,TRAILBLAZE
"1999",DODG ,DODGE                      ,RAM 2500  
"2007",FORD ,FORD                       ,FOCUS ZX4 
"2004",JEP  ,JEEP                       ,GRAND CHER
"2005",TOYT ,TOYOTA                     ,PRIUS     
"2007",HOND ,HONDA                      ,PILOT EXL 
"2014",TOYT ,TOYOTA                     ,CAMRY L   
"2014",ACUR ,ACURA                      ,RDX TECHNO
"2017",NISS ,NISSAN                     ,ROGUE S   
"2016",TOYT ,TOYOTA                     ,CAMRY LE  
"2017",TOYT ,TOYOTA                     ,HIGHLANDER
"2015",NISS ,NISSAN                     ,SENTRA S  
"2011",DODG ,DODGE                      ,CALIBER MA
"2020",HOND ,HONDA                      ,ODYSSEY EX
"2012",AUDI ,AUDI                       ,Q5 PRESTIG
"2016",HARL ,HARLEY DAVIDSON            ,FLHTCU ULT
"2018",CHEV ,CHEVROLET                  ,EQUINOX LT
"2001",HOND ,HONDA                      ,PRELUDE   
"2003",HYUN ,HYUNDAI                    ,SANTA FE G
"2013",ACUR ,ACURA                      ,RDX       
"2007",SIER ,SAMWATYLTD                 ,CAMPER    
"2003",MAZD ,MAZDA                      ,"6 I       "
"2013",NISS ,NISSAN                     ,JUKE S    
"2007",HYUN ,HYUNDAI                    ,SANTA FE  
"2003",KIA  ,KIA                        ,SORENTO EX
"2007",JEP  ,JEEP                       ,LIBERTY SP
"2011",INFI ,INFINITI                   ,G37 BASE  
"2011",INFI ,INFINITY                   ,G37 BASE  
"2014",DODG ,DODGE                      ,CHARGER PO
"2018",SUBA ,SUBARU                     ,LEGACY 2.5
"2015",HOND ,HONDA                      ,CIVIC EXL 
"2001",HOND ,HONDA                      ,CIVIC DX  
"2013",GMC  ,GMC                        ,SIERRA K25
"2008",JEP  ,JEEP                       ,COMPASS SP
"2007",MITS ,MITSUBISHI                 ,ECLIPSE GS
"2013",KIA  ,KIA                        ,SORENTO LX
"2001",LEXS ,LEXUS                      ,GS 300    
"2000",FORD ,FORD                       ,EXPLORER X
"2004",KIA  ,KIA                        ,SEDONA EX 
"2012",VOLK ,VOLKSWAGEN                 ,JETTA SE  
"2007",LEXS ,LEXUS                      ,ES 350    
"2014",VOLK ,VOLKSWAGEN                 ,JETTA TDI 
"2016",JEP  ,JEEP                       ,GRAND CHER
"2015",TOYT ,TOYOTA                     ,COROLLA L 
"2008",PONT ,PONTIAC                    ,VIBE      
"2001",VOLV ,VOLVO                      ,V70 2.4T  
"2013",CHEV ,CHEVROLET                  ,CAPTIVA LT
"2008",LEXS ,LEXUS                      ,IS 250    
"2020",HYUN ,HYUNDAI                    ,TUCSON LIM
"1999",CHEV ,CHEVROLET                  ,TAHOE K150
"1999",TOYT ,TOYOTA                     ,"4RUNNER SR"
"2010",TOYT ,TOYOTA                     ,RAV4      
"2018",DODG ,DODGE                      ,JOURNEY CR
"2010",CHEV ,CHEVROLET                  ,AVEO LT   
"2006",FORD ,FORD                       ,ESCAPE XLS
"2007",SATU ,SATURN                     ,VUE HYBRID
"2007",SATU ,SNOWEX                     ,VUE HYBRID
"2002",CADI ,CADILLAC                   ,DEVILLE   
"1997",TOYT ,TOYOTA                     ,"4RUNNER SR"
"2013",DODG ,DODGE                      ,GRAND CARA
